Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"The design and implementation of an OA system ZGL1","Journal of Computer Science and Technology","","3","1","10.1007/BF02943334","Li XiePeipei ChenPeigen YangZhongxiu Sun","1988","http://link.springer.com/article/10.1007/BF02943334","Article"
"Visions, illusions and myths about materials data systems","AI & SOCIETY","","2","3","10.1007/BF01908543","Gustaf Östberg","1988","http://link.springer.com/article/10.1007/BF01908543","Article"
"Events","The Visual Computer","","4","3","10.1007/BF01908901","","1988","http://link.springer.com/article/10.1007/BF01908901","Article"
"Acknowledgement","New Generation Computing","","6","2 - 3","10.1007/BF03037146","","1988","http://link.springer.com/article/10.1007/BF03037146","Article"
"The general problem solving algorithm and its implementation","New Generation Computing","","6","1","10.1007/BF03037504","V. J. Rayward-SmithG. P. McKeownF. W. Burton","1988","http://link.springer.com/article/10.1007/BF03037504","Article"
"Left-Associative Grammar: An informal outline","Computers and translation","","3","1","10.1007/BF02057967","Roland Hausser","1988","http://link.springer.com/article/10.1007/BF02057967","Article"
"MT Summit, Hakone, Kanagawa-ken, Japan September 17–19, 1987","Computers and translation","","3","1","10.1007/BF02057971","Harold Somers","1988","http://link.springer.com/article/10.1007/BF02057971","Article"
"Book reviews","Artificial Intelligence Review","","2","3","10.1007/BF00159148","S. G. LangfordA. NarayananRichard ForsythJon NicholBarbara GorayskaColin Beardon","1988","http://link.springer.com/article/10.1007/BF00159148","Article"
"Model minimization —An alternative to circumscription","Journal of Automated Reasoning","","4","1","10.1007/BF00244510","Jaakko Hintikka","1988","http://link.springer.com/article/10.1007/BF00244510","Article"
"Octree creation via C.S.G. definition","The Visual Computer","","4","2","10.1007/BF01905558","Gershon ElberMoshe Shpitalni","1988","http://link.springer.com/article/10.1007/BF01905558","Article"
"Learning quickly when irrelevant attributes abound: A new linear-threshold algorithm","Machine Learning","","2","4","10.1007/BF00116827","Nick Littlestone","1988","http://link.springer.com/article/10.1007/BF00116827","Article"
"The Durand-Kerner method for trigonometric and exponential polynomials","Computing","","40","2","10.1007/BF02247945","P. Weidner","1988","http://link.springer.com/article/10.1007/BF02247945","Article"
"Horizon mapping: shadows for bump-mapped surfaces","The Visual Computer","","4","2","10.1007/BF01905562","Nelson L. Max","1988","http://link.springer.com/article/10.1007/BF01905562","Article"
"News and notes","Machine Learning","","2","4","10.1007/BF00116831","","1988","http://link.springer.com/article/10.1007/BF00116831","Article"
"Computer-generated trees","The Visual Computer","","3","5","10.1007/BF01914867","","1988","http://link.springer.com/article/10.1007/BF01914867","Article"
"A new method for describing the AND-OR-parallel execution of logic programs","Journal of Computer Science and Technology","","3","2","10.1007/BF02943336","Chengzheng SunYungui Tzu","1988","http://link.springer.com/article/10.1007/BF02943336","Article"
"Ring delay chain for exact measure of pulse cycle error","Journal of Computer Science and Technology","","3","2","10.1007/BF02943340","Yanzhi YinChanglin ChenBaoning ShenShixiang Ding","1988","http://link.springer.com/article/10.1007/BF02943340","Article"
"Marr prize preface","International Journal of Computer Vision","","1","4","10.1007/BF00133567","","1988","http://link.springer.com/article/10.1007/BF00133567","Article"
"Active vision","International Journal of Computer Vision","","1","4","10.1007/BF00133571","John AloimonosIsaac WeissAmit Bandyopadhyay","1988","http://link.springer.com/article/10.1007/BF00133571","Article"
"Knowledge-based systems and issues of integration: A commercial perspective","AI & SOCIETY","","2","3","10.1007/BF01908545","Karl M Wiig","1988","http://link.springer.com/article/10.1007/BF01908545","Article"
"Machine Learning as an Experimental Science","Machine Learning","","3","1","10.1023/A:1022623814640","Pat Langley","1988","http://link.springer.com/article/10.1023/A%3A1022623814640","Article"
"Book Reviews","Computers and translation","","3","1","10.1007/BF02057969","Allen B. Tucker Jr.Nick Somers","1988","http://link.springer.com/article/10.1007/BF02057969","Article"
"An introduction to Wu's method for mechanical theorem proving in geometry","Journal of Automated Reasoning","","4","3","10.1007/BF00244942","Shang-Ching Chou","1988","http://link.springer.com/article/10.1007/BF00244942","Article"
